"C r
n", 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 
1, 1, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2, 2, 2, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3, 3, 6, 6, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
4, 4, 12, 24, 24, ,,,,,,,,,,,,,,,,,,,,,,,,,,
5, 5, 20, 60, 120, 120, ,,,,,,,,,,,,,,,,,,,,,,,,,
6, 6, 30, 120, 360, 720, 720, ,,,,,,,,,,,,,,,,,,,,,,,,
7, 7, 42, 210, 840, 2520, 5040, 5040, ,,,,,,,,,,,,,,,,,,,,,,,
8, 8, 56, 336, 1680, 6720, 20160, 40320, 40320, ,,,,,,,,,,,,,,,,,,,,,,
9, 9, 72, 504, 3024, 15120, 60480, 181440, 362880, 362880, ,,,,,,,,,,,,,,,,,,,,,
10, 10, 90, 720, 5040, 30240, 151200, 604800, 1814400, 3628800, 3628800, ,,,,,,,,,,,,,,,,,,,,
11, 11, 110, 990, 7920, 55440, 332640, 1663200, 6652800, 19958400, 39916800, 39916800, ,,,,,,,,,,,,,,,,,,,
12, 12, 132, 1320, 11880, 95040, 665280, 3991680, 19958400, 79833600, 239500800, 479001600, 479001600, ,,,,,,,,,,,,,,,,,,
13, 13, 156, 1716, 17160, 154440, 1235520, 8648640, 51891840, 259459200, 1037836800, 3113510400, 6227020800, 6227020800, ,,,,,,,,,,,,,,,,,
14, 14, 182, 2184, 24024, 240240, 2162160, 17297280, 121080960, 726485760, 3632428800, 14529715200, 43589145600, 87178291200, 87178291200, ,,,,,,,,,,,,,,,,
15, 15, 210, 2730, 32760, 360360, 3603600, 32432400, 259459200, 1816214400, 10897286400, 54486432000, 217945728000, 653837184000, 1307674368000, 1307674368000, ,,,,,,,,,,,,,,,
16, 16, 240, 3360, 43680, 524160, 5765760, 57657600, 518918400, 4151347200, 29059430400, 174356582400, 871782912000, 3487131648000, 10461394944000, 20922789888000, 20922789888000, ,,,,,,,,,,,,,,
17, 17, 272, 4080, 57120, 742560, 8910720, 98017920, 980179200, 8821612800, 70572902400, 494010316800, 2964061900800, 14820309504000, 59281238016000, 177843714048000, 355687428096000, 355687428096000, ,,,,,,,,,,,,,
18, 18, 306, 4896, 73440, 1028160, 13366080, 160392960, 1764322560, 17643225600, 158789030400, 1270312243200, 8892185702400, 53353114214400, 266765571072000, 1067062284288000, 3201186852864000, 6402373705728000, 6402373705728000, ,,,,,,,,,,,,
19, 19, 342, 5814, 93024, 1395360, 19535040, 253955520, 3047466240, 33522128640, 335221286400, 3016991577600, 24135932620800, 168951528345600, 1013709170073600, 5068545850368000, 20274183401472000, 60822550204416000, 1.21645100408832E+17, 1.21645100408832E+17, ,,,,,,,,,,,
20, 20, 380, 6840, 116280, 1860480, 27907200, 390700800, 5079110400, 60949324800, 670442572800, 6704425728000, 60339831552000, 482718652416000, 3379030566912000, 20274183401472000, 1.0137091700736E+17, 4.0548366802944E+17, 1.21645100408832E+18, 2.43290200817664E+18, 2.43290200817664E+18, ,,,,,,,,,,
21, 21, 420, 7980, 143640, 2441880, 39070080, 586051200, 8204716800, 106661318400, 1279935820800, 14079294028800, 140792940288000, 1267136462592000, 10137091700736000, 70959641905152000, 4.25757851430912E+17, 2.12878925715456E+18, 8.51515702861824E+18, 2.554547108585472E+19, 5.109094217170944E+19, 5.109094217170944E+19, ,,,,,,,,,
22, 22, 462, 9240, 175560, 3160080, 53721360, 859541760, 12893126400, 180503769600, 2346549004800, 28158588057600, 309744468633600, 3097444686336000, 27877002177024000, 2.23016017416192E+17, 1.561112121913344E+18, 9.366672731480064E+18, 4.683336365740032E+19, 1.8733345462960128E+20, 5.6200036388880384E+20, 1.1240007277776077E+21, 1.1240007277776077E+21, ,,,,,,,,
23, 23, 506, 10626, 212520, 4037880, 72681840, 1235591280, 19769460480, 296541907200, 4151586700800, 53970627110400, 647647525324800, 7124122778572800, 71241227785728000, 6.41171050071552E+17, 5.129368400572416E+18, 3.590557880400691E+19, 2.1543347282404147E+20, 1.0771673641202074E+21, 4.3086694564808297E+21, 1.292600836944249E+22, 2.585201673888498E+22, 2.585201673888498E+22, ,,,,,,,
